REGISTERED TOURISM FACILITIES  DATABASE AS AT SEPTEMBER 2022 ,,,,,,,,,,
CODE,PROVINCE,AREA,NAME OF FACILITY,ADDRESS,EMAIL,TELEPHONE,GRADE,EMPL,CAP,ROOMS
HOP 0250,Masvingo,Save,Chishakwe,Lisa J Campbell - Chishakwe Ranch  Valley Conservancy P O Box 24 Birchenough Bridge,chishakwepr@gmail.com,0778 028 592,,32,,
HOP 0251,Bulawayo,Bulawayo,Mabalengwe Safaris," R Madangure - Matetsi Safari Area, Mat North, 1 Hwakmoor Dr, Umwinsidale, P.O Box CH557, Chisipite,Harare",abe@mabalengwe.net,0778 731 281,,19,,
HOP 0252,Mat North,Victoria Falls,Dimbangombe Conservancy Safaris,Rodger Savory.Waterford Ranch Dibangombe Siding P Bag 5950 Victoria Falls,ranch@africaonline.co.zw/hmtourism@africaonline.co.zw,"0774 159 568,020 2027154",,74,,
HOP 0257,Mat North,Dete ,Dinguzulu Safaris,"Railway Farm 34, Antonneitte Kennedy Siding- P O Box 36 Dete",,0772 655 588,,,,
HOP 0259,Harare,Harare,Charlton McCallum safaris,"5 Lindrew Close,Chisipite,Harare",hunting@cmsafaris.com,0773 288 011,,,,
HOP 0261,Masvingo,Chiredzi,SSG Safaris Goluck Investments ,"N M Dzingai - 29 Impala Drive, Box 473, Chiredzi",SSGsafaris@zol.co.zw,031 3429,,11,,
HOP 0271,Bulawayo,Bulawayo,Jimba Safaris ,Wayne Dietrechsen - 16 Catherine Berry Drive Ilanda Bulawayo,wayned@za.co.zw,04 722957,,4,,
HOP 0281,Bulawayo,Bulawayo,Nyamazana Safaris,W Van Den Bergh - No 12 26th Avenue Famono Bulawayo,nyamazanasaf@netconnect.co.zw,0772 248 280,,,,
HOP 0283,Mat North,Victoria Falls,Sifiso Hunting Safaris (Pvt) Ltd,"Sifiso Mpofu-Bingwa Ranch, Matetsi ICA, Victoria Fallsphy",physompofu@yahoo.com,013-40060,,,,
HOP 0285,Bulawayo,Bulawayo,Shangani River Safaris,S D Grant- 16 Park Road Surburbs Bulawayo,sharisaf@yahoo.com,"0776 979 403,0778 952 413",,3,,
HOP 0290,Midlands ,Gokwe,Afropride Safaris,"E & C Ndondo-268 Domboshawa Road Borrowdale Harare, P.O. Box 2206, Harare",charles@afropride.co.zw,0242 2933572,,,,
HOP 0295,Mash West,Chirundu,Halsted Safaris ,Paul Ian Halsted - Mongwe Safari Area Chirundu 486 Lakeview Cresent Borrowdale Hre,"palilo@halstedsafaris.com,hfate@me.com",0779127200,,5,,
HOP 0296,Mash West,Chirundu,Chirundu Safari Lodge,"Carl Van Der Reit- Chirundu Estates, P.O Box 3683, Harare",chirunducroc@hotmail.com,0772 357 621,,10m,,
HOP 0297,Mash West,Hurungwe,Afri-Hype Parks & Wildlife ,I Mutepfe - Nyakasanga Area Hurungwe 78 Churchill Road Alexandra Park Harare,info@afrihypesafaris.com,"0772 162 480,0775 005 75,0779 438 7788 ",,,,
HOP 0301,Bulawayo,Bulawayo ,Wamafari Enclave Pvt Ltd ,Wilken Masukume - Stand No 209 Esigodini Bulawayo.  ,wamafrique@gmail.com,0772 918 644,,,,
HOP 0303,Mat North,Matetsi,Matetsi Region Safaris ,K Ndhlovu & L Siziba - Sekebelo Matetsi Farm P O Box 97 Victoria Falls ,,0771 133 722,,6,,
HOP 0304,Masvingo,Chiredzi,Tredelk Trading Pvt Ltd,C Moyo - 11 Hazeldene Rd Borrowdale Harare.,admin@tredelk.com,0242 776321,,11,,
HOP 0305,Mat North,Gwayi,Vexford Investment,F Muchenje - Plot No 1 Tarquinnia Farm Karoi.,vexfordsafaris@gmail.com,0733 256 974,,4,,
HOP 0307,Bulawayo,Bulawayo,Madiliza Safaris (Pvt) Ltd,"Scott Bailey - 30 Pinedale drive, Bulawayo",madilizasafaris@gmail.com,09-882688,,5,,
HOP 0309,Mat North,Matetsi,Mpondo Safaris ,Pieter A Grieff - Matetsi Matebeleland North - 7 B Birkienhead Belmont Bulawayo.,pgreeffimpondo@gmail.com/scania@western.co.zw,0776 845 387,,11,,
HOP 0312,Bulawayo,Bulawayo,Mapassa Big game Hounds,"Vaughan Whitehead Wilson - Matebeleland South,Mashlands ranch 188 Snaith Road Burnside Bulawayo.",mapassam@gmail.com,0771 510 739,,12,,
HOP 0316,Mat North,Matetsi,Power Zimbabwe,R Ruwodo - Matetsi Unit 4 Matetsi Safari Area Victoria Falls ,mafamoyo@gmail.com,"0775 393 655,0242 710 262",,6,,
HOP 0317,Masvingo,Save Valley,Call of Wild ,Guy Whittal Arda Mkwasine Chiredzi Save Valley Conservance - 1 Glenroy Crescent Highlands Harare,callofthewild.zim@gmail.com,0783 910 187,,9,8,
HOP 0318,,Chewore South Area,Chewore Wildlife  Safaris ,Barry Van Heerden  - Chewore South Sari Area 1 Burnwell Close Greencroft Harare ,barry@cheworesafaris.com,0772 860 877,Standard,27,,
HOP 0319,Masvingo,Masvingo ,Makonese Hunting Safaris ,"Fred Makonese - Sub Division 2 of Lot 4 of Lot 12 of NRA Ward 15, Mwenezi ",fre.makonese@gmail.com,0772913386,,,,
HOP 0323,Masvingo,Save Valley,Impala Ranch ,Willem Tobias Swan - Back Country Africa 143 Umwinsdale Road Harare,washington@kaolapark.co.zw,"0772 234 796,0782 794 189",,20,,
HOP 0324,Bulawayo,Bulawayo ,Dollar Block Ranch,Willem & Judith Swan - Dollar Block Ranch Bubi Matebeleland North 143 Umwinsdale Rd Harare.,washinhton@kaolapark.co.zw,"0772 234 796,0782 794 189",Standard,20,12,8
HOP 0326,Masvingo,Save,Crane Safaris ,Travis J Edwards - Sango Ranch Save Conservancy 3 Normandy Road Alexandra Park Harare,natalie@cranesafaris.co.zw,0242 745460,,3,,
HOP 0327,Masvingo,Save Valley,Green Safaris Africa ,Phillip Mafuta - Masapas Ranch  Save Valley Conservance Chiredzi P O Box 19 Chiredzi,info@greensafariafrica.com,0787 107 781,,10,12,12
HOP 0328,Mat North,Gwayi,Kalanga Safaris ,Thulani Mutiwaza - 3 Hough Terrace Tegela Bulawayo,"kalangasafaris@gmail.com,thulanimatiwaza@gmail.com",083 2840857,,11,,
HOP 0329,Bulawayo,Bulawayo,N N Investments Pvt Ltd,"Brian Van Blerk, 10 Ilanda Gardens Bulawayo",brainvanblerksafaris@yoafrica.com,0774 659 809,,4,,
HOP 0330,Mash West,Chinhoyi,Nyadara Ventures,"Neville Corris&Bradley Ross Ferreira, Stand 169 Karoi  P.O Box 3 Chinhoyi",nyaderaventures@gmail.com,031 5151,,8,,
HOP 0331,Mat North,Hwange,Lures And Leads Safaris ,Shawn Anthony Kelly - Hwange District 13 J Chinamano Road Belmont Bulawayo,luresandleadssafaris@gmail.com,09-72331 /65026,,,,
HOP 0332,Mat North,Lupane,Tukutela Safaris,Ray Makwere - Camp Selous Gwayi ICA Lupane ,raekudzai@yahoo.com,"04 785972,0773 541 138",,8,,
HOP 0334,Mat North,Hwange,Mvimi Safaris ,Shlomo Yosef Lepar - 6A Lawley Road Suburbs Bulawayo ,slepar@viking.co.zw,0772 144 728,,10,,
HOP 0335,Masvingo ,Save,Leloma African Dsafaris ,L Mafuta - 1012 Woodpecker Westwood Chiredzi,mafutaphillip47@gmail.com,0714 933 805,,6,,
HOP 0336,Mash West,Mhangura,Mist Mountain Safaris ,Karel Strydom  - Maninga Conservancy Doma 141 Borrowdale Rd Gunhill Harare,rifleman@mweb.co.zw,0772232951,,11,,
HOP 0337,Mash West,Makuti ,Babwe Safaris,David Van Der Westuizenand Adam - Lot 1 Sinoia Drift Farm Chinhoyi,babwesafaris@gmail.com,"01342275,0712 612 918",Standard,,,
HOP 0338,Mat South,Mwenezi,Old Ways Safaris,K Mundoga - 139 Harare Drive3 Borrowdale Harare,mundogambazvi@gmail.com,0774 485 434,,3,,
HOP 0339,Mat North,Gwayi,Mnumzana Safaris,A Pongweni - Goodluck Ranch Gwayi,allaynpongweni@gmail.com,0712 333 966,,3,,
HOSTELS,,,,,,,,,,
HST 0001,Manicaland,Mutare,Balmoral," 21 ‘C’ Avenue - P O Box 393, Mutare - D T Rodopoulos",theodorerodo@hotmail.com,0773 466 700,No Star Rating,5,60,30
HST 0004,Harare,Harare,Elmfield Hostel ,A Tongogara - 111 Fife Avenue Greenwood Park Harare ,,0788 076 758,,3,8,4
HST 0007,Bulawayo,Bulawayo,Y.W.C.A. Hostel,"35 9th Avenue/Lobengula Street,Bulawayo",ywcahas@mweb.co.zw,081-33486 081-33444,No Star Rating,16,44,35
HST 0009,Midlands ,Gweru,Baptist Convention of Zimbabwe,"Cnr Lobengula/Kopje Rd,Gweru-P.O.Box 1645,Gweru",baptistconv63@gmail.com,054 2221530,Standard,6,12,10
HST 0011,Mat South,Beitbridge,Day and Night Hostel,3754 Dulibadzimu Township Beitbridge P O Box 392 Beitbridge ,,"08677008090,0242 779 760/67",No Star Rating,,,
HST 0012,Masvingo,Masvingo,Backpackers Rest,"146 Dauth Building Cnr J.Tongogara, Robertson, Masvingo",,"013 43368,0775 403 982,04 772633/9",No Star Rating,,,
HST 0014,Harare,Harare,Yatta Hostel,Ronald Kituli.17410 Flanagan Road Hillside Harare.,,0772 369 805,Standard,,,
HST 0015,Harare,Harare,Boundary Hostel ,A K Jumbe - 69 Boundary Road Eastle Harare,akjumbe@gmail.com,0774 501 177,comfort ,,48,24
HST 0016,Masvingo,Chiredzi,Shamwari Hostel,"S.Rukara- Std 3669 Tshovani, Chiredzi",sjrukara@gmail.com,0242 443264,No Star Rating,7,,
HST 0022,Harare,Harare,Taedzwa Hostel,"Mr H. Taedzwa-2656 Maguta Shopping Centre, Epworth, Harare",htaedzwa@gmail.com,0775 523 986,No Star Rating,,16,8
HST 0024,Mat North,Lupane,Lupane Womens Development Trust,S Nyathi - Stand 256 Lupane Bulawayo.,lwcentre@mweb.co.zw,0389-464,Standard,13,16,7
HST 0027,Harare,Harare,Mugoni Hostel - Bishop Gaul,5 Bishop Gaul/ Rotten Row Belvedere Harare,,09 65764,No Star Rating,6,20,10
HST 0030,Harare,Chitungwiza,Patzon Hostel,Z & P Nyamande - 22583 Unit G Seke Chitungwiza.,,0772 804 705,Not yet Graded,6,,12
HST 0035,Manicaland,Chipinge ,Travellers Home Hostels Chipinge ,Onioas Muyambo - Stand No 2A Checheche Chisumbanje Chipinge.,zorodzai@travellers.co.zw,0712 404446/ 0772 907289,Standard,3,40,20
HST 0036,Harare,Seke,Pamahuswa Hostel,Elizabeth Chakudunga - Mhonda Village Seke Mayambara 3007 Unit C Seke,letchaks77@gmail.com,0772 252 496,Standard,8,24,12
HST 0038,Harare,Harare,City To City Haven,A Marimi - 9 Bishop Gaul Avenue Belvedere Harare,amarimi@mweb.co.zw,0772 803 967,Standard,7,26,13
HST 0039,Harare,Chitungwiza,Damview Hostel,Alfred H Mumba &Jesse Takavadii - 242 Guzha Chitungwiza.,jessetakavadi94@gmail.com,"0712 213529 ,0772 420760",Not yet Graded,13,24,12
HST 0041,Harare,Harare,Paradise Hostel,T Z Mhetu & N Mhetu - 11 Frank  johnson Avenue Harare,paradiselodge11@gmail.com,0242 251109,Standard,4,40,20
HST 0047,Harare,Harare,Paw Paw Guest House ,Mrs W Washaya 262 Herbert Chitepo Avenue Harare,,0772 432 475/ 04708499,No Star Rating,,40,20
HST 0049,Mash West,Chinhoyi,Pastoral Centre  Chinhoyi ,"Fr K Mapanda - 30 Chitambo, Chinhoyi ",,0772 251 188,,,20,10
HST 0052,Mash West,Chinhoyi,Shalom Hostel ,Lloyd Tadyanehondo - 5319 North Drive CBD Chinhoyi,lloydtadya@gmail.com,0772 597 526,,3,32,16
HST 0053,Manicaland,Mutare,7.11 Hostel,Lei Yuzhi 21 Fourth Street Mutare ,,0229 2083010/2/ 0772 462 229,,,20,10
HST 0054,Harare,Harare,Crinet Hostel 24,"Crinet Investments - Plot 1B Kilworth Estate, Bulawayo Road, Harare",crinet@gmail.com,0712 154 201,,4,10,5
HST 0055,Mat North,Victoria Falls ,Victoria Falls Budget Hotel,J.B. Matiza 954 Spencer Road Victoria Falls,vicfallsbudget@gmail.com,083 2847126/7,,11,132,70
HST 0057,Harare,Harare,Chiard Hostel,Enock Mupamawonde - 58 Ardbennie Road National Mbare Harare,mupaeno@gmail.com,0772 196 901,,3,20,10
HST 0058,Harare,Harare,Second Page Hostel,Lashton Chitoro - Plot 5 Tynwald North Harare,lashtonc@gmail.com,0772 768 763,,3,10,5
HST 0059,Harare,Harare,Chikwanha Hostel,E P Vengesayi - Stand Number 2 Guzha Township Seke  ,,"0773 098 829,0242 745460",,6,50,25
HST 0061,Mash West,Kadoma,Kadoma City Hotel,"K. Gumbanjera, 12-14 Union Street Kadoma",kadomacitylodge@gmail.com,"0773 598 936,0712 753 099",Hostel,10,24,6
HST 0063,Harare,Harare,Dolphin Hostel,S Zimowa - 7 Kaguvi Street Harare ,,0772 419 968,,8,28,14
HST 0064,Harare,Chitungwiza,Patzon Hostel 2 ,Z & P Nyamande - 22583 Unit G Seke Chitungwiza.,,0772 804 705,Not yet Graded,5,26,13
HST 0067 ,Mash West,Kadoma ,Kumbowedza Hostel,Habakkuk Manjoro - 109 Mainge Street Rimuka Kadoma ,zephe.manjoro@gmail.com,04 492585/ 0772261004/0772821112,Standard,16,48,24
HST 0068,Harare,Harare,Taedzwa Hostel,Honour M M Taedzwa -  No 14 Charter Road Harare,htaedzwa3@gmail.com,"090880791,0785 871 510",.,6,28,30
HST 0069,Harare,Harare,Trustworthy Hostel,"Trust Muchefa - 5036 Overspill, Epworth",trustmuchefa@gmail.com,783702942,Hostel,3,,9
HST 0071,Harare,Harare,Lonhford Hostel ,V Saga - 8 Longford Avenue Queensdala Harare,ctongoona10@gmail.com,0772 918 257,,5,20,10
HST 0077,Bulawayo,Bulawayo,Nicoz House Bulawayo,S A Read - Zimre Property - Cnr 8th & Foet Street  Bulawayo,gafia@zimreproperty.co.zw,029273166/8,Standard,8,184,
HOTELS,,,,,,,,,,
HTS 0001,Bulawayo,Bulawayo,Cresta Churchill Hotel,"Cresta Hospitality, 146 Matopos Road, Hillside, Bulawayo",brian@churchill.cresta.co.zw,04 790861-4,Three Star,,97,50
HTS 0003,Mat North,Hwange,Baobab Hotel,"Baobab Dr Baobab Hill. P O Box 120, Hwange. ",pchisuvi@baobabhill.co.zw,"081233519, 0772 332 538",Two Star,21,,
HTS 0004,Masvingo,Masvingo,Flamboyant Hotel,Beitbridge Rd - P O Box 225 Masvingo,,039 253085/6,Two Star,,,
HTS 0005,Harare,Harare,Cresta Oasis Hotel,"Cresta Hospitality , 124 Nelson Mandela Ave, Harare, P.O Box 1541  ","gm@oasis.cresta.co.zw, shalom@oasis.cresta.co.zw",0242 704217/9,Three Star,,220,110
HTS 0006,Bulawayo,Bulawayo,The Selborne Hotel,C S Basit - L Takawira Ave/G Silundika St -P O Box 527 Bulawayo,selbornehotel2013@gmail.com,0772 411 344/5,Two star,9,53,35
HTS 0007,Masvingo,Masvingo,Chevron Hotel,"2 R. G. Mugabe Way. P O Box 245, Masvingo",chevron@regencyhotels.co.zw,"0392262054,039 2265961",Two Star,50,,
HTS 0008,Mat North,Victoria Falls,Victoria Falls Hotel,"P O Box 10,Victoria Falls",vicfallshotel@victoriafallshotel.com,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Five Star,,346,180
HTS 0009,Midlands ,Kwekwe,Shamwari Hotel  - under refurbishment,"K & L Sibanda, Stand 89 R.G Mugabe Way, Kwekwe",imbrexenterprises1@gmail.com,09 231007,No Star Rating,70,,
HTS 0012,Midlands ,Kwekwe,King Solomon - Golden Mile Hotel,"S Matsa - 1 Cardinal Drive Chicago Gweru Road, Kwekwe",info@goldenmilehotel.co.zw,"055 23713,077 215 2825",Two Star,24,52,21
HTS 0013,Mash West,Chinhoyi,Orange Grove Motel,"Chinhoyi University of Technology - 1 Orange Groove Road, Chinhoyi",,497950/ 0772311734,One Star,15,130,41
HTS 0015,Manicaland,Nyanga,Troutbeck Inn,"Afriac Sun - Nyamaropa Road P O Box 1 Troutbeck,Nyanga",accountant@tbr.africansun.co.zw,0772 437 386,Three Star,,,
HTS 0016,Harare,Harare,Meikles Hotel,"Jason Moyo Avenue/Third Street - P O Box 594, Harare",meikles@meikles.com,0242 707720/9,Five Star,,634,317
HTS 0017,Manicaland,Nyanga, ,"Mandiwanzira - 238 Fishermans Loop,Nyanga",,0772 355 116,One Star,,,
HTS 0018,Manicaland,Mutare,Wise Owl Motel,"Old Pass Road, P O Box 588 Fairbridge Park, Mutare",wiseowl@mweb.co.zw,0776 434 666,Two Star,,,
HTS 0021,Mat North,Victoria Falls,Elephant Hills Inter-Continental,328 Parkway Drive P O Box 300 Victoria Falls ,gm@ehr.africansun.co.zw,083244793/9,Four Star,,,
HTS 0023,Mash West,Kariba,Caribbea Bay,P O Box 120-Kariba.,gm@cbs.africansun.co.zw,"0772 769 778,,0717035 887",Three Star,,,
HTS 0025,Bulawayo,Bulawayo,Rainbow Hotel Bulawayo,"10th Ave /J. Tongogara st Byo.-P.O Box 1876, Bulawayo",gm@byorainbow.co.zw,083 2846925,Three Star,,350,140
HTS 0026,Mat North,Victoria Falls,Cresta Sprayview Hotel,"Cresta Hospitality-92 Livingstone Way & Reynard Rd, Victoria Falls",roddy@cresta.co.zw,0774 446 003,Three Star,,,
HTS 0028,Harare,Harare,Monomotapa Hotel ,"African Sun Ltd - 54 Parklane - P O Box 2445, Harare ",zimsun@zimsun.co.zw,09 74421,Four Star,,406,203
HTS 0029,Harare,Harare,New Ambassador Hotel,"RTG - 88 Kwame Nkruma Ave. P O Box 872, Harare","accountant@newambassador.co.zw, gm@newambassador.co.zw","09 76009,76053,0713 560 739,0772 284 626",Two Star,,107,72
HTS 0030,Manicaland,Mutare,Holiday Inn  Mutare,Cnr 3nd Street/ Aerodrome Rd. Mutare - P O Box 27 Mutare.,him@him.zimsun.co.zw,04 795611/49/ 251203/19,Three Star,,,
HTS 0034,Mat North,Victoria Falls,A’Zambezi River Lodge ,"308 Parkway Drive - P O Box 130, Victoria Falls",gm@azambezi.co.zw,0772 235 693,Four Star,,,
HTS 0036,Mat North,Dete,Hwange Safari Lodge,"Farm 39 P Bag 5792, Dete",reservations@hsl.zimsun.co.zw,0772 132 146,Three Star,,,96
HTS 0037,Manicaland,Nyanga,Rhodes Nyanga Hotel,F.Ngwenya-Nyanga National Parks,rhodesnyangahotel@zol.co.zw,0772 207 496,Two Star,,,
HTS 0039,Mat North,Victoria Falls,Rainbow Hotel Victoria Falls,RTG - 278 Parkway Drive – Box 150 Victoria Falls,"reservations@rainbowvfa.co.zw,rainbow@telcovic.co.zw",04 772633/9,Three Star,,,
HTS 0040,Masvingo,Masvingo,Great Zimbabwe Hotel,"P Bag 9082, Masvingo",gzim@gzim.zimsun.co.zw ,0242 781089,Three Star,,,
HTS 0042,Manicaland,Mutare,Christmas Pass Hotel,"Felton Chibanguza - P O Box 841,Mutare ",,0772 445 117 / 04 783 424,One Star,,,
HTS 0045,Harare,Harare,Holiday Inn Harare,"African Sun Limited - Samora Machel Ave /5th Street. P O Box 7, Harare",gm.hih@africansunhotels.com,0242 251200-4,Three Star,,402,201
HTS 0051,Mat North,Victoria Falls,Ilala Lodge,"411 Livingstone Way, P O Box 18 Victoria Falls",gm@ilalalodge.co.zw,083 44737/8/9,Three Star,,64,32
HTS 0052,Mat South,Beitbridge,Beitbridge Inn,"Peter Leondios - 15 Old Border Post Road Beitbridge -P.O.Box 82, Beitbridge","townbuch@mweb.co.zw,beitinn@gmail.com",04 792229,One Star,,,
HTS 0055,Harare,Harare,N 1 Hotel Harare,"D S  Nesbit - 128 Samora Machel Avenue, Harare",tessa@n1hotel.co.zw,04 308288,Two Star,9,32,16
HTS 0056,Mash East,Murewa,Chibanguza Hotel,"Murehwa Business Centre - P O Box 72, Murewa",resenations@brontehotel.co.zw,0772 430 726,One Star,,,
HTS 0058,Harare,Harare,Mushandira Pamwe Hotel,"A Tawengwa 4806 Nyandoro Road Highfield  - P O Box DH 15, Highfield, Harare",tendaitawengwa@gmail.com,07736 069 017,No Star Rating,19,62,31
HTS 0062,Mash West,Chirundu,Chirundu Valley Motel,"Freddie Hickey - Stand 41, Chirundu - P O Box BE 104 Belvedere, Harare",motel@mweb.co.zw,"0772 897 314, 0772 269 322,0733 949 344,08644117753",No Star Rating,,26,13
HTS 0065,Harare,Harare,Bronte Hotel,"J Leggett - 132 Baines Avenue, Harare",reservations@brontehotel.co.zw,0242 707522/7,Three Star,,300,134
HTS 0067,Manicaland,Nyanga,Montclair Casino Hotel,"Hala-Malcolmadale Estate, Juliasdale, Nyanga",reservations@montclair.co.zw,0262082237,Three Star,,,
HTS 0068,Harare,Harare,The Grand Selous Hotel,Moses Chingwena - 45 Selous Avenue Harare,conoliam@seloushotel.co.zw,"0773 017 495,0242 795426",One Star, ,100,50
HTS 0070,Mash East,Chivhu,Chivhu Hotel & Country Hotel,"Dr G Gono - 277 -279 York Street, Chivhu",fjmukarate@gmail.com,773576365,,8,19,10
HTS 0077,,Penhalonga,La Rochelle Hotel,L Edward &M Ngorima - Imbeza Valley Penhalonga P O Box 46 Mutare.10 Cambridge Ave Newlands Harare.,brickitsales@gmail.com,0777 062 190,One Star,,,13
HTS 0079,Mash Central,Mazowe,Mazowe Hotel,"Felton Chibanguza – No 1 Irene Estates, P O Box 5, Mazowe",admin@mazowhotel.co.zw,0662195244,One Star,,250,53
HTS 0087,Harare,Harare,Rainbow Towers Harare,RTG (T.Madziwanyika) -1 Pennefather Avenue - P O Box 3033 Harare ,sales.harare@sheraton.com; norbertru@rainbowtowers.co.zw,04 772633-9,Four Star,,404,304
HTS 0088,Manicaland,Mutare,Manica Skyview Hotel,John Magwagwa - No 77 2nd Street Mutare,rachymugwagwa@gamil.com,0202066101,,34,131,49
HTS 0095,Harare,Harare,African Sun Hotel,54 Parklane Harare,reservations@zimsun.co.zw,"054 231933,  0715415836,+263 (0)8677021630 / ",Not yet Graded,,,
HTS 0096,Mat North,Victoria Falls,The Kingdom At Victoria Falls,1 Mullet Drive - P O Box 90 Victoria Falls,kingdom@kingdom.zimsun.co.zw,0773 185 200,Four Star,,,
HTS 0098,Bulawayo,Bulawayo,The Grey's Inn,"75 R.Mugabe/L. Takawira Ave - PO Box 52, Bulawayo",selborne@africaonline.co.zw,029 2273581,No Star Rating,,58,32
HTS 0099,Bulawayo,Bulawayo,Holiday Inn Bulawayo,"P O Box AC 88 Ascot,Bulawayo",www.holiday-inn.com,0776 745 727,Three Star,,325,157
HTS 0103,Bulawayo,Bulawayo,Nesbitt Castle,6 Percy Avenue Hillside Bulawayo - D S Nesbitt,manager@nesbittcastle.co.zw,0777 249 324,Three Star,7,26,9
HTS 0112,Mash Central,Bindura,Hala Select - Kimberly Reef Hotel,"C Nyahunda - Cnr Thurlow Rd / Main Street - P O Box 124, Bindura",fredy.mubako@yahoo.com,"0775 993 085, 09-200334",No Star Rating,19,45,28
HTS 0114,Harare,Harare,Holly’s Hotel And Night Club ,"R Hollingshead/B. Chinoperekwei. 9 Harare Street Harare. Box CY 3161 Causeway,Harare",flexiblesolutions@yahoo.com,0773 294 896,No Star Rating,15,16,8
HTS 0115,Mat North,Victoria Falls ,Victoria Falls Safari Lodge ,"J D Glynn,Nommy Vuma-stand 471 Squire Cummings Road Victoria Falls.",nommy@africaalbida.co.zw/boma@saflodge.co.zw,0832843201/11,Luxury (4 star),,,
HTS 0117,Mash West,Chinhoyi,Chinhoyi University Hotel,P.O Box 7724 Chinhoyi (Harare-Chirundu Road),cmatienga@cut.ac.zw,0712 129 419,Two Star,21,40,34
HTS 0118,Bulawayo,Bulawayo,N 1 Hotel Bulawayo,D S  Nesbit - 114  Main Street Bulawayo,byomanager@n1hotel.co.zw,0292 881874,One Star,,48,24
HTS 0124,Bulawayo,Bulawayo,Plaza Hotel,"Ronda Carosella - 14th Avenue, Jason Moyo Street, Bulawayo",plazahotelbulawayo@gmai.com,0772 478 332,No Star Rating,10,56,28
HTS 0132,Midlands ,Kwekwe,Shumba Hotel,"P Narah -  59 N Mandela Road, Kwekwe",blasprill@gmail.com ,05525 24393,No Star Rating,11,26,13
HTS 0135,Masvingo,Triangle,Triangle Country Club,"Tongaat Hulett - P. O Box 97, Triangle",tccmanager@triangle.co.zw,033 6492,Two Star,,,
HTS 0136,Masvingo,Chiredzi,Hippo Valley Country Club,"Tongaat Hulett - Hippo Valley Estates- P.O Box 1, Chiredzi",,0242 775287/0772216554,One Star,19,34,17
HTS 0137,Manicaland,Mutare,Hotel East Gate,"Richard Dauto Carneiro - No. 1 Simon Mazorodze/ Aerodrome Road , Mutare.                 ",tariro.eastgatehotel@gmail.com,020 63632,One Star, ,36,18
HTS 0140,Harare,Harare,Pentagon  Hotel,Phillip Chiyangwa - 11 Crowhill Road Borrowdale Harare,philip.chiyangwa@gmail.com,"0772 411 242 ,0784 582 245",,,,
HTS 0144,Bulawayo,Bulawayo,Bulawayo Club Hotel,"Barry Knight/ Bernard Louw - 89 8th Ave, Cnr Fort St, Bulawayo",reservations@bulawayoclub.com,0292 881964/5,Not Yet Graded,19,18,9
HTS 0151,Harare,Harare,The Queens Hotel,"Cnr R.Mugabe and Kaguvi Street,Harare",habiyego@yahoo.com,04 710545,No Star Rating,,,
HTS 0157,Harare,Harare,Sogecoa Zimbabwe Golden Peacock Villa Hotel,"Jiang Qingde. 58 Golden Stair Road, Mt Pleasant, Harare",,0773 675 066,Not Yet Graded,65,,
HTS 0158,Harare,Harare,Pandhari Hotel,"Sunday Chifamba-16 Gainsville Rd Glenlorne, Harare",pandhari@pandhari.co.zw,0242 494918-25,Two Star,,,
HTS 0162,Midlands ,Kwekwe,Tropicana Hotel,"F. Shava- Number 4 Gumstreet, Kwekwe",shavafrederick@yahoo.co.uk/tjchapinduka@gmail.com,013- 42001/0772144779/0712807689,No Star Rating,16,,
HTS 0166,Manicaland,Vumba,Forrest Hills (Pvt) Ltd,"Mr A Makadzange. Lot 14A of Manchester at Forrest Hills,Mutare",,020-62911,2 Star,,,
HTS 0171,Harare,Harare,Chivendera Villa - House Of Elegance,"C & S Mharadze 117-128 Cnr 3rd St/ Miton Rd, Waterfalls, Harare",cmharadze@2pcl.co.zw,0773 034 230,Two Star,4,,15
HTS 0173,Bulawayo,Bulawayo,Bulawayo Continental  Hotel,,bdplodge@gmail.com,"0712522001, 09 233452",Two Star,,42,21
HTS 0176,Mat North,Victoria Falls,N 1 Hotel Victoria Falls ,D S  Nesbit - 266 Adam Stander Road .Victoria Falls,rory@nanbd.co.zw,0783 890 807,Two Star,,,
HTS 0178,Bulawayo,Bulawayo,Munda Hotel ,"Jailos Dube - 19 Munda Road, Burnside, Bulawayo",info@mundalodge.com,029 2244430,Comfort,16,54,26
HTS 0179,Bulawayo,Bulawayo,Hotel Lalani  and Conference Centre,"F Masaire - 53 Derwent Road, Fortune Gate, Matsheumhlope, Bulawayo ",lalanilodge@yahoo.com,0292 281935,Two Star,13,51,33
HTS 0183,Bulawayo,Bulawayo,Stay Afrique Hotels ,Titus Ncube - 5 Reynolds Road Barhaam Green Bulawayo.,tiuts@intoresources.net,0242 861831,2 Star,21,44,22
HTS 0184,Bulawayo,Bulawayo,Glen Hotel,B Bhulu - 8 Oregon Ave Newton West Bulawayo,beautybhulu@mweb.co.zw,029-2460584/ 09 460269,Comfort,10,16,8
